iter	RMSE
0	3015.089231
1	3007.486328
2	3000.963307
3	2994.44737
4	2989.213252
5	2984.488214
6	2980.384323
7	2976.369692
8	2972.500102
9	2968.776123
10	2965.765741
11	2962.709005
12	2960.070024
13	2957.891682
14	2954.048612
15	2951.980335
16	2949.718852
17	2946.031835
18	2944.759458
19	2942.223616
20	2940.65535
21	2939.05777
22	2937.584872
23	2935.543596
24	2933.874591
25	2930.992981
26	2928.340471
27	2926.479096
28	2925.353738
29	2923.585953
30	2922.597459
31	2921.117876
32	2919.276332
33	2917.598306
34	2916.251031
35	2915.073049
36	2914.336893
37	2913.152915
38	2910.91229
39	2908.505782
40	2907.649749
41	2905.590794
42	2903.933746
43	2902.098585
44	2900.408853
45	2898.968055
46	2897.803926
47	2895.95112
48	2894.91111
49	2893.703127
50	2892.87112
51	2891.955583
52	2891.114616
53	2890.149669
54	2889.594246
55	2888.517461
56	2887.613645
57	2886.628935
58	2885.248155
59	2883.794414
60	2882.722096
61	2882.034809
62	2880.78165
63	2879.887672
64	2878.681079
65	2878.254473
66	2877.285848
67	2876.65417
68	2875.614821
69	2875.272935
70	2874.81071
71	2873.878404
72	2873.102428
73	2872.476321
74	2871.860268
75	2869.845775
76	2868.964507
77	2868.000834
78	2867.467702
79	2866.726938
80	2866.463317
81	2865.938682
82	2865.382302
83	2864.83422
84	2864.321162
85	2863.530546
86	2862.042305
87	2861.132811
88	2860.517309
89	2859.964812
90	2859.202486
91	2858.27824
92	2857.764552
93	2857.132878
94	2855.646011
95	2855.209732
96	2854.600808
97	2853.90351
98	2853.33917
99	2852.692089
100	2851.926819
101	2851.190039
102	2850.163355
103	2849.266519
104	2848.875593
105	2847.688847
106	2847.068445
107	2846.882149
108	2846.363664
109	2846.00254
110	2845.538741
111	2845.214346
112	2844.653129
113	2844.207276
114	2843.764897
115	2843.473201
116	2843.211186
117	2842.885349
118	2842.469343
119	2842.149883
120	2841.654029
121	2841.123587
122	2840.284423
123	2839.202682
124	2838.941792
125	2838.583707
126	2838.208885
127	2837.736561
128	2837.148833
129	2836.843135
130	2836.361375
131	2835.79037
132	2835.340621
133	2835.035954
134	2834.670297
135	2834.432816
136	2833.348256
137	2833.13244
138	2832.561878
139	2832.18563
140	2831.726797
141	2831.47406
142	2829.793708
143	2828.427287
144	2827.92301
145	2827.448436
146	2827.115541
147	2826.470684
148	2825.987741
149	2824.729881
150	2824.525428
151	2824.042898
152	2823.376227
153	2822.897838
154	2822.486279
155	2822.211819
156	2820.907257
157	2820.633063
