iter	Passed	Remaining
0	156	156648
1	164	81886
2	171	57147
3	179	44686
4	187	37323
5	195	32424
6	204	29007
7	213	26445
8	224	24667
9	232	23046
10	243	21906
11	252	20802
12	262	19939
13	277	19537
14	288	18973
15	298	18327
16	312	18049
17	326	17795
18	339	17543
19	350	17191
20	361	16829
21	373	16617
22	386	16400
23	395	16095
24	408	15931
25	418	15672
26	427	15399
27	437	15172
28	450	15071
29	459	14841
30	471	14735
31	484	14650
32	493	14467
33	506	14382
34	522	14416
35	539	14441
36	551	14353
37	560	14193
38	569	14026
39	577	13866
40	584	13682
41	593	13535
42	600	13361
43	608	13213
44	615	13071
45	624	12948
46	631	12813
47	639	12675
48	646	12545
49	653	12410
50	661	12310
51	669	12206
52	678	12114
53	684	11998
54	692	11906
55	700	11805
56	708	11723
57	716	11628
58	724	11553
59	731	11461
60	739	11391
61	747	11304
62	756	11247
63	764	11180
64	772	11111
65	779	11029
66	787	10967
67	794	10889
68	803	10838
69	810	10767
70	818	10708
71	826	10651
72	834	10593
73	841	10532
74	851	10502
75	859	10455
76	870	10439
77	879	10394
78	890	10384
79	899	10347
80	909	10317
81	921	10316
82	930	10281
83	942	10278
84	958	10320
85	973	10342
86	988	10370
87	1002	10388
88	1015	10393
89	1026	10379
90	1041	10402
91	1057	10434
92	1070	10436
93	1083	10443
94	1097	10454
95	1107	10425
96	1119	10425
97	1130	10404
98	1139	10368
99	1152	10368
100	1164	10362
101	1172	10322
102	1184	10315
103	1195	10297
104	1205	10271
105	1219	10287
106	1232	10288
107	1241	10254
108	1251	10228
109	1263	10219
110	1271	10182
111	1283	10179
112	1296	10175
113	1305	10147
114	1316	10135
115	1330	10135
116	1337	10091
117	1349	10089
118	1364	10102
119	1375	10084
120	1384	10054
121	1396	10053
122	1409	10052
123	1421	10040
124	1433	10036
125	1445	10027
126	1457	10018
127	1467	9997
128	1481	10005
129	1493	9993
130	1504	9981
131	1517	9976
132	1530	9977
133	1540	9954
134	1549	9928
135	1563	9931
136	1573	9910
137	1582	9887
138	1595	9881
139	1604	9856
140	1618	9862
141	1630	9854
142	1644	9852
143	1655	9841
144	1664	9813
145	1677	9809
146	1688	9800
147	1699	9781
148	1711	9777
149	1724	9772
150	1735	9755
151	1746	9741
152	1758	9732
153	1771	9729
154	1779	9702
155	1804	9763
156	1813	9738
157	1825	9726
158	1837	9720
159	1847	9697
160	1857	9679
161	1869	9669
162	1877	9639
163	1899	9683
164	1907	9652
165	1919	9642
166	1929	9623
167	1938	9600
168	1950	9592
169	1960	9571
170	1974	9574
171	1989	9577
172	2004	9581
173	2016	9570
174	2025	9550
175	2037	9540
176	2049	9528
177	2057	9501
178	2070	9496
179	2080	9479
180	2089	9456
181	2102	9449
182	2112	9431
183	2132	9455
184	2141	9432
185	2153	9424
186	2166	9417
187	2174	9392
188	2185	9378
189	2198	9371
190	2212	9371
191	2233	9397
192	2247	9397
193	2262	9400
194	2277	9400
195	2295	9414
196	2305	9397
197	2318	9390
198	2332	9387
199	2343	9373
200	2353	9354
201	2383	9414
202	2394	9401
203	2403	9377
204	2415	9366
205	2426	9351
206	2434	9325
207	2446	9316
208	2458	9304
209	2466	9277
210	2477	9264
211	2487	9245
212	2508	9267
213	2516	9241
214	2525	9222
215	2535	9203
216	2561	9243
217	2574	9234
218	2584	9217
219	2593	9194
220	2604	9181
221	2612	9155
222	2621	9134
223	2630	9113
224	2638	9089
225	2645	9061
226	2653	9035
227	2660	9007
228	2669	8986
229	2675	8957
230	2684	8937
231	2692	8912
232	2701	8892
233	2708	8867
234	2718	8848
235	2725	8824
236	2735	8805
237	2742	8779
238	2775	8837
239	2787	8827
240	2797	8809
241	2803	8782
242	2812	8762
243	2820	8738
244	2829	8718
245	2835	8691
246	2843	8669
247	2851	8646
248	2859	8624
249	2867	8603
250	2876	8582
251	2883	8560
252	2892	8540
253	2900	8518
254	2909	8499
255	2916	8476
256	2924	8454
257	2931	8431
258	2939	8409
259	2946	8385
260	2953	8361
261	2960	8340
262	2967	8315
263	2974	8293
264	2982	8271
265	2990	8252
266	2997	8229
267	3006	8211
268	3012	8187
269	3020	8166
270	3029	8150
271	3037	8130
272	3044	8106
273	3051	8084
274	3058	8063
275	3066	8043
276	3074	8025
277	3082	8006
278	3091	7989
279	3100	7973
280	3108	7953
281	3117	7936
282	3125	7917
283	3135	7905
284	3144	7888
285	3154	7875
286	3164	7862
287	3173	7846
288	3183	7830
289	3193	7817
290	3205	7810
291	3215	7796
292	3225	7782
293	3234	7767
294	3242	7749
295	3251	7732
296	3258	7712
297	3266	7693
298	3273	7675
299	3282	7659
300	3289	7639
301	3298	7624
302	3306	7605
303	3313	7586
304	3321	7568
305	3328	7548
306	3335	7530
307	3342	7509
308	3350	7491
309	3357	7474
310	3366	7457
311	3372	7437
312	3380	7419
313	3387	7400
314	3395	7384
315	3403	7367
316	3412	7353
317	3420	7334
318	3428	7318
319	3434	7299
320	3442	7281
321	3449	7262
322	3457	7246
323	3464	7229
324	3472	7211
325	3480	7196
326	3488	7179
327	3501	7174
328	3510	7159
329	3519	7144
330	3529	7133
331	3537	7118
332	3549	7109
333	3557	7093
334	3565	7077
335	3573	7061
336	3580	7044
337	3588	7029
338	3596	7012
339	3604	6997
340	3611	6979
341	3619	6963
342	3643	6979
343	3650	6961
344	3661	6951
345	3670	6937
346	3680	6925
347	3692	6918
348	3701	6904
349	3732	6930
350	3743	6921
351	3753	6910
352	3762	6896
353	3774	6888
354	3784	6875
355	3795	6865
356	3807	6858
357	3816	6844
358	3828	6835
359	3840	6826
360	3847	6810
361	3854	6793
362	3861	6776
363	3869	6761
364	3876	6743
365	3883	6726
366	3890	6709
367	3899	6697
368	3908	6684
369	3920	6675
370	3928	6659
371	3937	6647
372	3944	6629
373	3953	6618
374	3961	6602
375	3969	6587
376	3976	6571
377	3985	6557
378	3992	6541
379	4000	6527
380	4008	6512
381	4016	6498
382	4024	6482
383	4032	6468
384	4039	6452
385	4047	6438
386	4054	6422
387	4063	6409
388	4071	6394
389	4079	6381
390	4088	6367
391	4097	6355
392	4105	6341
393	4114	6328
394	4122	6314
395	4131	6301
396	4139	6287
397	4147	6273
398	4156	6260
399	4165	6247
400	4173	6234
401	4182	6221
402	4191	6209
403	4202	6199
404	4213	6190
405	4222	6177
406	4230	6164
407	4239	6151
408	4248	6138
409	4258	6127
410	4266	6113
411	4274	6100
412	4281	6085
413	4289	6071
414	4296	6056
415	4303	6041
416	4310	6026
417	4317	6011
418	4326	5999
419	4334	5985
420	4342	5971
421	4349	5956
422	4356	5943
423	4363	5928
424	4371	5914
425	4378	5899
426	4386	5886
427	4393	5871
428	4401	5858
429	4408	5843
430	4415	5829
431	4422	5815
432	4429	5800
433	4438	5788
434	4445	5774
435	4454	5762
436	4461	5747
437	4469	5734
438	4475	5719
439	4483	5706
440	4490	5692
441	4498	5679
442	4505	5665
443	4513	5652
444	4521	5638
445	4528	5625
446	4536	5611
447	4543	5598
448	4551	5585
449	4558	5570
450	4565	5557
451	4572	5543
452	4580	5530
453	4587	5517
454	4595	5504
455	4604	5492
456	4611	5479
457	4619	5466
458	4626	5453
459	4635	5441
460	4642	5427
461	4650	5415
462	4657	5401
463	4665	5389
464	4672	5375
465	4680	5363
466	4687	5350
467	4696	5338
468	4703	5325
469	4711	5312
470	4718	5299
471	4725	5286
472	4753	5295
473	4777	5301
474	4790	5294
475	4798	5282
476	4804	5268
477	4812	5255
478	4818	5241
479	4826	5228
480	4834	5216
481	4841	5203
482	4848	5190
483	4855	5176
484	4863	5164
485	4870	5150
486	4878	5138
487	4885	5125
488	4893	5113
489	4900	5100
490	4908	5088
491	4914	5074
492	4920	5059
493	4926	5046
494	4932	5032
495	4939	5019
496	4945	5004
497	4950	4990
498	4957	4977
499	4977	4977
500	4983	4964
501	4990	4951
502	4996	4936
503	5002	4923
504	5008	4909
505	5015	4896
506	5022	4883
507	5027	4869
508	5033	4855
509	5040	4842
510	5046	4829
511	5053	4816
512	5058	4802
513	5065	4789
514	5071	4776
515	5077	4762
516	5084	4750
517	5091	4737
518	5097	4724
519	5103	4711
520	5109	4697
521	5114	4683
522	5121	4671
523	5127	4658
524	5135	4646
525	5141	4633
526	5147	4620
527	5154	4607
528	5159	4593
529	5165	4580
530	5171	4567
531	5177	4554
532	5183	4541
533	5189	4528
534	5194	4514
535	5200	4502
536	5205	4488
537	5210	4474
538	5216	4461
539	5221	4447
540	5226	4434
541	5231	4420
542	5237	4408
543	5242	4394
544	5249	4382
545	5254	4368
546	5259	4355
547	5265	4343
548	5270	4329
549	5275	4316
550	5282	4304
551	5287	4291
552	5292	4278
553	5298	4265
554	5304	4253
555	5309	4239
556	5315	4227
557	5320	4214
558	5325	4201
559	5331	4189
560	5337	4176
561	5341	4163
562	5348	4151
563	5354	4139
564	5360	4126
565	5365	4114
566	5370	4101
567	5377	4089
568	5382	4077
569	5387	4064
570	5393	4052
571	5398	4039
572	5404	4027
573	5409	4015
574	5415	4002
575	5420	3990
576	5426	3977
577	5431	3965
578	5437	3953
579	5443	3941
580	5450	3930
581	5456	3918
582	5462	3906
583	5467	3894
584	5473	3882
585	5478	3870
586	5484	3858
587	5490	3846
588	5495	3834
589	5500	3822
590	5506	3810
591	5511	3798
592	5516	3786
593	5522	3774
594	5527	3762
595	5532	3750
596	5539	3739
597	5544	3727
598	5549	3714
599	5555	3703
600	5561	3691
601	5566	3680
602	5572	3668
603	5577	3656
604	5583	3645
605	5619	3653
606	5631	3646
607	5643	3638
608	5650	3627
609	5668	3624
610	5674	3612
611	5679	3601
612	5686	3589
613	5691	3578
614	5698	3567
615	5704	3556
616	5710	3544
617	5716	3533
618	5721	3521
619	5726	3509
620	5732	3498
621	5737	3486
622	5742	3475
623	5748	3463
624	5754	3452
625	5759	3441
626	5765	3429
627	5771	3418
628	5776	3407
629	5782	3396
630	5788	3384
631	5793	3373
632	5799	3362
633	5804	3350
634	5809	3339
